"","RefSeq_accession_number","Entry","Reviewed","Entry.Name","Protein.names","Gene.Names","Organism","Length"
"550","NP_006026","Q9Y5S2","reviewed","MRCKB_HUMAN","Serine/threonine-protein kinase MRCK beta (EC 2.7.11.1) (CDC42-binding protein kinase beta) (CDC42BP-beta) (DMPK-like beta) (Myotonic dystrophy kinase-related CDC42-binding kinase beta) (MRCK beta) (Myotonic dystrophy protein kinase-like beta)","CDC42BPB KIAA1124","Homo sapiens (Human)",1711
"551","NP_006026","Q86XZ8","unreviewed","Q86XZ8_HUMAN","CDC42BPB protein","CDC42BPB","Homo sapiens (Human)",492
"552","NP_003598","Q5VT25","reviewed","MRCKA_HUMAN","Serine/threonine-protein kinase MRCK alpha (EC 2.7.11.1) (CDC42-binding protein kinase alpha) (DMPK-like alpha) (Myotonic dystrophy kinase-related CDC42-binding kinase alpha) (MRCK alpha) (Myotonic dystrophy protein kinase-like alpha)","CDC42BPA KIAA0451","Homo sapiens (Human)",1732
"553","NP_055641","Q5VT25","reviewed","MRCKA_HUMAN","Serine/threonine-protein kinase MRCK alpha (EC 2.7.11.1) (CDC42-binding protein kinase alpha) (DMPK-like alpha) (Myotonic dystrophy kinase-related CDC42-binding kinase alpha) (MRCK alpha) (Myotonic dystrophy protein kinase-like alpha)","CDC42BPA KIAA0451","Homo sapiens (Human)",1732
"554","NP_059995","Q6DT37","reviewed","MRCKG_HUMAN","Serine/threonine-protein kinase MRCK gamma (EC 2.7.11.1) (CDC42-binding protein kinase gamma) (DMPK-like gamma) (Myotonic dystrophy kinase-related CDC42-binding kinase gamma) (MRCK gamma) (MRCKG) (Myotonic dystrophy protein kinase-like gamma) (Myotonic dystrophy protein kinase-like alpha)","CDC42BPG DMPK2","Homo sapiens (Human)",1551
"555","NP_001075031","Q09013","reviewed","DMPK_HUMAN","Myotonin-protein kinase (MT-PK) (EC 2.7.11.1) (DM-kinase) (DMK) (DM1 protein kinase) (DMPK) (Myotonic dystrophy protein kinase)","DMPK DM1PK MDPK","Homo sapiens (Human)",629
"556","NP_001075031","E5KR05","unreviewed","E5KR05_HUMAN","non-specific serine/threonine protein kinase (EC 2.7.11.1)","","Homo sapiens (Human)",625
"557","NP_055907","Q96Q15","reviewed","SMG1_HUMAN","Serine/threonine-protein kinase SMG1 (SMG-1) (hSMG-1) (EC 2.7.11.1) (Lambda/iota protein kinase C-interacting protein) (Lambda-interacting protein) (Nonsense mediated mRNA decay-associated PI3K-related kinase SMG1)","SMG1 ATX KIAA0421 LIP","Homo sapiens (Human)",3661
"558","NP_056993","A2RRP1","reviewed","NBAS_HUMAN","NBAS subunit of NRZ tethering complex (Neuroblastoma-amplified gene protein) (Neuroblastoma-amplified sequence)","NBAS NAG","Homo sapiens (Human)",2371
"559","NP_056993","G1UI26","unreviewed","G1UI26_HUMAN","Neuroblastoma-amplified sequence","NBAS","Homo sapiens (Human)",1561
"560","NP_001157968","Q96MT7","reviewed","CFA44_HUMAN","Cilia- and flagella-associated protein 44 (WD repeat-containing protein 52)","CFAP44 WDR52","Homo sapiens (Human)",1854
"561","NP_001157968","Q9NUU0","unreviewed","Q9NUU0_HUMAN","cDNA FLJ11142 fis, clone PLACE1006552","","Homo sapiens (Human)",401
"562","NP_001157968","Q9UF55","unreviewed","Q9UF55_HUMAN","Uncharacterized protein DKFZp434A2017","DKFZp434A2017","Homo sapiens (Human)",990
"563","NP_078789","Q9BQS8","reviewed","FYCO1_HUMAN","FYVE and coiled-coil domain-containing protein 1 (Zinc finger FYVE domain-containing protein 7)","FYCO1 ZFYVE7","Homo sapiens (Human)",1478
"564","NP_006188","Q15154","reviewed","PCM1_HUMAN","Pericentriolar material 1 protein (PCM-1) (hPCM-1)","PCM1","Homo sapiens (Human)",2024
"565","NP_006188","A2RUU9","unreviewed","A2RUU9_HUMAN","PCM1 protein","PCM1","Homo sapiens (Human)",1859
"566","NP_003461","Q93009","reviewed","UBP7_HUMAN","Ubiquitin carboxyl-terminal hydrolase 7 (EC 3.4.19.12) (Deubiquitinating enzyme 7) (Herpesvirus-associated ubiquitin-specific protease) (Ubiquitin thioesterase 7) (Ubiquitin-specific-processing protease 7)","USP7 HAUSP","Homo sapiens (Human)",1102
"567","NP_003461","Q6U8A4","unreviewed","Q6U8A4_HUMAN","Ubiquitin carboxyl-terminal hydrolase 7 (EC 3.4.19.12) (Ubiquitin thioesterase 7) (Ubiquitin-specific-processing protease 7)","","Homo sapiens (Human)",1112
"568","NP_000042","Q13315","reviewed","ATM_HUMAN","Serine-protein kinase ATM (EC 2.7.11.1) (Ataxia telangiectasia mutated) (A-T mutated)","ATM","Homo sapiens (Human)",3056
"569","NP_705833","Q68DQ2","reviewed","CRBG3_HUMAN","Very large A-kinase anchor protein (vlAKAP) (Beta/gamma crystallin domain-containing protein 3)","CRYBG3","Homo sapiens (Human)",2970
"570","NP_055791","Q14690","reviewed","RRP5_HUMAN","Protein RRP5 homolog (NF-kappa-B-binding protein) (NFBP) (Programmed cell death protein 11)","PDCD11 KIAA0185","Homo sapiens (Human)",1871
"571","NP_000480","P46100","reviewed","ATRX_HUMAN","Transcriptional regulator ATRX (EC 3.6.4.12) (ATP-dependent helicase ATRX) (X-linked helicase II) (X-linked nuclear protein) (XNP) (Znf-HX)","ATRX RAD54L XH2","Homo sapiens (Human)",2492
"572","NP_000480","A4LAA3","unreviewed","A4LAA3_HUMAN","DNA helicase (EC 3.6.4.12) (ATP-dependent helicase ATRX)","ATRX","Homo sapiens (Human)",2492
"573","NP_000480","B4DLW1","unreviewed","B4DLW1_HUMAN","cDNA FLJ56873, highly similar to Transcriptional regulator ATRX","","Homo sapiens (Human)",322
"574","NP_612114","P46100","reviewed","ATRX_HUMAN","Transcriptional regulator ATRX (EC 3.6.4.12) (ATP-dependent helicase ATRX) (X-linked helicase II) (X-linked nuclear protein) (XNP) (Znf-HX)","ATRX RAD54L XH2","Homo sapiens (Human)",2492
"575","NP_060473","Q9BZF9","reviewed","UACA_HUMAN","Uveal autoantigen with coiled-coil domains and ankyrin repeats","UACA KIAA1561","Homo sapiens (Human)",1416
"576","NP_055928","O43149","reviewed","ZZEF1_HUMAN","Zinc finger ZZ-type and EF-hand domain-containing protein 1","ZZEF1 KIAA0399","Homo sapiens (Human)",2961
"577","NP_006466","Q15063","reviewed","POSTN_HUMAN","Periostin (PN) (Osteoblast-specific factor 2) (OSF-2)","POSTN OSF2","Homo sapiens (Human)",836
"578","NP_001129406","Q15063","reviewed","POSTN_HUMAN","Periostin (PN) (Osteoblast-specific factor 2) (OSF-2)","POSTN OSF2","Homo sapiens (Human)",836
"579","NP_001129407","Q15063","reviewed","POSTN_HUMAN","Periostin (PN) (Osteoblast-specific factor 2) (OSF-2)","POSTN OSF2","Homo sapiens (Human)",836
"580","NP_597677","Q6KC79","reviewed","NIPBL_HUMAN","Nipped-B-like protein (Delangin) (SCC2 homolog)","NIPBL IDN3 SCC2","Homo sapiens (Human)",2804
"581","NP_002366","P27816","reviewed","MAP4_HUMAN","Microtubule-associated protein 4 (MAP-4)","MAP4","Homo sapiens (Human)",1152
"582","NP_001102","P55265","reviewed","DSRAD_HUMAN","Double-stranded RNA-specific adenosine deaminase (DRADA) (EC 3.5.4.37) (136 kDa double-stranded RNA-binding protein) (p136) (Interferon-inducible protein 4) (IFI-4) (K88DSRBP)","ADAR ADAR1 DSRAD G1P1 IFI4","Homo sapiens (Human)",1226
"583","NP_056655","P55265","reviewed","DSRAD_HUMAN","Double-stranded RNA-specific adenosine deaminase (DRADA) (EC 3.5.4.37) (136 kDa double-stranded RNA-binding protein) (p136) (Interferon-inducible protein 4) (IFI-4) (K88DSRBP)","ADAR ADAR1 DSRAD G1P1 IFI4","Homo sapiens (Human)",1226
"584","NP_001234926","P30622","reviewed","CLIP1_HUMAN","CAP-Gly domain-containing linker protein 1 (Cytoplasmic linker protein 1) (Cytoplasmic linker protein 170 alpha-2) (CLIP-170) (Reed-Sternberg intermediate filament-associated protein) (Restin)","CLIP1 CYLN1 RSN","Homo sapiens (Human)",1438
"585","NP_937883","P30622","reviewed","CLIP1_HUMAN","CAP-Gly domain-containing linker protein 1 (Cytoplasmic linker protein 1) (Cytoplasmic linker protein 170 alpha-2) (CLIP-170) (Reed-Sternberg intermediate filament-associated protein) (Restin)","CLIP1 CYLN1 RSN","Homo sapiens (Human)",1438
"586","NP_937883","B3KXA5","unreviewed","B3KXA5_HUMAN","cDNA FLJ45045 fis, clone BRAWH3021580, highly similar to Restin (Cytoplasmic linker protein 170 alpha-2)","","Homo sapiens (Human)",472
"587","NP_115797","Q9UDT6","reviewed","CLIP2_HUMAN","CAP-Gly domain-containing linker protein 2 (Cytoplasmic linker protein 115) (CLIP-115) (Cytoplasmic linker protein 2) (Williams-Beuren syndrome chromosomal region 3 protein) (Williams-Beuren syndrome chromosomal region 4 protein)","CLIP2 CYLN2 KIAA0291 WBSCR3 WBSCR4 WSCR4","Homo sapiens (Human)",1046
"588","NP_115797","A7E2F7","unreviewed","A7E2F7_HUMAN","CAP-GLY domain containing linker protein 2 (Cytoplasmic linker 2, isoform CRA_a)","CLIP2 CYLN2 hCG_18038","Homo sapiens (Human)",1011
"589","NP_001103132","F8VWT9","unreviewed","F8VWT9_HUMAN","HECT domain E3 ubiquitin protein ligase 4","HECTD4","Homo sapiens (Human)",4284
"590","NP_006411","Q9Y6D5","reviewed","BIG2_HUMAN","Brefeldin A-inhibited guanine nucleotide-exchange protein 2 (Brefeldin A-inhibited GEP 2) (ADP-ribosylation factor guanine nucleotide-exchange factor 2)","ARFGEF2 ARFGEP2 BIG2","Homo sapiens (Human)",1785
"591","NP_006411","Q59FR3","unreviewed","Q59FR3_HUMAN","ADP-ribosylation factor guanine nucleotide-exchange factor 2 variant","","Homo sapiens (Human)",821
"592","NP_006411","Q86TH5","unreviewed","Q86TH5_HUMAN","ARFGEF2 protein","ARFGEF2","Homo sapiens (Human)",832
"593","NP_006412","Q9Y6D6","reviewed","BIG1_HUMAN","Brefeldin A-inhibited guanine nucleotide-exchange protein 1 (Brefeldin A-inhibited GEP 1) (ADP-ribosylation factor guanine nucleotide-exchange factor 1) (p200 ARF guanine nucleotide exchange factor) (p200 ARF-GEP1)","ARFGEF1 ARFGEP1 BIG1","Homo sapiens (Human)",1849
"594","NP_004753","Q15438","reviewed","CYH1_HUMAN","Cytohesin-1 (PH, SEC7 and coiled-coil domain-containing protein 1) (SEC7 homolog B2-1)","CYTH1 D17S811E PSCD1","Homo sapiens (Human)",398
"595","NP_059431","Q99418","reviewed","CYH2_HUMAN","Cytohesin-2 (ARF exchange factor) (ARF nucleotide-binding site opener) (Protein ARNO) (PH, SEC7 and coiled-coil domain-containing protein 2)","CYTH2 ARNO PSCD2 PSCD2L","Homo sapiens (Human)",400
"596","NP_004218","O43739","reviewed","CYH3_HUMAN","Cytohesin-3 (ARF nucleotide-binding site opener 3) (Protein ARNO3) (General receptor of phosphoinositides 1) (Grp1) (PH, SEC7 and coiled-coil domain-containing protein 3)","CYTH3 ARNO3 GRP1 PSCD3","Homo sapiens (Human)",400
"597","NP_037517","Q9UIA0","reviewed","CYH4_HUMAN","Cytohesin-4 (PH, SEC7 and coiled-coil domain-containing protein 4)","CYTH4 CYT4 PSCD4","Homo sapiens (Human)",394
"598","NP_002215","Q14573","reviewed","ITPR3_HUMAN","Inositol 1,4,5-trisphosphate receptor type 3 (IP3 receptor isoform 3) (IP3R 3) (InsP3R3) (Type 3 inositol 1,4,5-trisphosphate receptor) (Type 3 InsP3 receptor)","ITPR3","Homo sapiens (Human)",2671
"599","NP_002215","A6H8K3","unreviewed","A6H8K3_HUMAN","Inositol 1,4,5-trisphosphate receptor","ITPR3","Homo sapiens (Human)",1049
"600","NP_002215","Q59ES2","unreviewed","Q59ES2_HUMAN","Inositol 1,4,5-trisphosphate receptor type 3 variant","","Homo sapiens (Human)",2341
"601","NP_002214","Q14571","reviewed","ITPR2_HUMAN","Inositol 1,4,5-trisphosphate receptor type 2 (IP3 receptor isoform 2) (IP3R 2) (InsP3R2) (Type 2 inositol 1,4,5-trisphosphate receptor) (Type 2 InsP3 receptor)","ITPR2","Homo sapiens (Human)",2701
"602","NP_001161744","Q14643","reviewed","ITPR1_HUMAN","Inositol 1,4,5-trisphosphate receptor type 1 (IP3 receptor isoform 1) (IP3R 1) (InsP3R1) (Type 1 inositol 1,4,5-trisphosphate receptor) (Type 1 InsP3 receptor)","ITPR1 INSP3R1","Homo sapiens (Human)",2758
"603","NP_002213","Q14643","reviewed","ITPR1_HUMAN","Inositol 1,4,5-trisphosphate receptor type 1 (IP3 receptor isoform 1) (IP3R 1) (InsP3R1) (Type 1 inositol 1,4,5-trisphosphate receptor) (Type 1 InsP3 receptor)","ITPR1 INSP3R1","Homo sapiens (Human)",2758
"604","NP_002213","B4DER3","unreviewed","B4DER3_HUMAN","Inositol 1,4,5-trisphosphate receptor","","Homo sapiens (Human)",1101
"605","NP_002213","B4DGH1","unreviewed","B4DGH1_HUMAN","cDNA FLJ54348, highly similar to Inositol 1,4,5-trisphosphate receptor type 1","","Homo sapiens (Human)",466
"606","NP_002213","Q59H91","unreviewed","Q59H91_HUMAN","Inositol 1,4,5-trisphosphate receptor type 1 variant","","Homo sapiens (Human)",1207
"607","NP_149129","Q05682","reviewed","CALD1_HUMAN","Caldesmon (CDM)","CALD1 CAD CDM","Homo sapiens (Human)",793
"608","NP_149130","Q05682","reviewed","CALD1_HUMAN","Caldesmon (CDM)","CALD1 CAD CDM","Homo sapiens (Human)",793
"609","NP_004333","Q05682","reviewed","CALD1_HUMAN","Caldesmon (CDM)","CALD1 CAD CDM","Homo sapiens (Human)",793
"610","NP_004333","A0A140VKA0","unreviewed","A0A140VKA0_HUMAN","Caldesmon 1, isoform CRA_i (Testis secretory sperm-binding protein Li 227n)","CALD1 hCG_17453","Homo sapiens (Human)",538
"611","NP_001124295","P26358","reviewed","DNMT1_HUMAN","DNA (cytosine-5)-methyltransferase 1 (Dnmt1) (EC 2.1.1.37) (CXXC-type zinc finger protein 9) (DNA methyltransferase HsaI) (DNA MTase HsaI) (M.HsaI) (MCMT)","DNMT1 AIM CXXC9 DNMT","Homo sapiens (Human)",1616
"612","NP_001124295","I6L9H2","unreviewed","I6L9H2_HUMAN","DNA (cytosine-5)-methyltransferase (EC 2.1.1.37)","DNMT1","Homo sapiens (Human)",1511
"613","NP_001370","P26358","reviewed","DNMT1_HUMAN","DNA (cytosine-5)-methyltransferase 1 (Dnmt1) (EC 2.1.1.37) (CXXC-type zinc finger protein 9) (DNA methyltransferase HsaI) (DNA MTase HsaI) (M.HsaI) (MCMT)","DNMT1 AIM CXXC9 DNMT","Homo sapiens (Human)",1616
"614","NP_001370","I6L9H2","unreviewed","I6L9H2_HUMAN","DNA (cytosine-5)-methyltransferase (EC 2.1.1.37)","DNMT1","Homo sapiens (Human)",1511
"615","NP_056988","O60841","reviewed","IF2P_HUMAN","Eukaryotic translation initiation factor 5B (eIF-5B) (EC 3.6.5.3) (Translation initiation factor IF-2)","EIF5B IF2 KIAA0741","Homo sapiens (Human)",1220
"616","NP_056988","Q8N5A0","unreviewed","Q8N5A0_HUMAN","Eukaryotic translation initiation factor 5B (Translation initiation factor IF-2)","EIF5B","Homo sapiens (Human)",1220
"617","NP_002853","P11216","reviewed","PYGB_HUMAN","Glycogen phosphorylase, brain form (EC 2.4.1.1)","PYGB","Homo sapiens (Human)",843
"618","NP_002854","P06737","reviewed","PYGL_HUMAN","Glycogen phosphorylase, liver form (EC 2.4.1.1)","PYGL","Homo sapiens (Human)",847
"619","NP_005600","P11217","reviewed","PYGM_HUMAN","Glycogen phosphorylase, muscle form (EC 2.4.1.1) (Myophosphorylase)","PYGM","Homo sapiens (Human)",842
"620","NP_001726","P01031","reviewed","CO5_HUMAN","Complement C5 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 4) [Cleaved into: Complement C5 beta chain; Complement C5 alpha chain; C5a anaphylatoxin; Complement C5 alpha' chain]","C5 CPAMD4","Homo sapiens (Human)",1676
"621","NP_060918","Q86VP6","reviewed","CAND1_HUMAN","Cullin-associated NEDD8-dissociated protein 1 (Cullin-associated and neddylation-dissociated protein 1) (TBP-interacting protein of 120 kDa A) (TBP-interacting protein 120A) (p120 CAND1)","CAND1 KIAA0829 TIP120 TIP120A","Homo sapiens (Human)",1230
"622","NP_001155971","O75155","reviewed","CAND2_HUMAN","Cullin-associated NEDD8-dissociated protein 2 (Cullin-associated and neddylation-dissociated protein 2) (Epididymis tissue protein Li 169) (TBP-interacting protein of 120 kDa B) (TBP-interacting protein 120B) (p120 CAND2)","CAND2 KIAA0667 TIP120B","Homo sapiens (Human)",1236
"623","NP_055847","Q9NTI5","reviewed","PDS5B_HUMAN","Sister chromatid cohesion protein PDS5 homolog B (Androgen-induced proliferation inhibitor) (Androgen-induced prostate proliferative shutoff-associated protein AS3)","PDS5B APRIN AS3 KIAA0979","Homo sapiens (Human)",1447
"624","NP_001093869","Q29RF7","reviewed","PDS5A_HUMAN","Sister chromatid cohesion protein PDS5 homolog A (Cell proliferation-inducing gene 54 protein) (Sister chromatid cohesion protein 112) (SCC-112)","PDS5A KIAA0648 PDS5 PIG54","Homo sapiens (Human)",1337
"625","NP_001093869","G1UI16","unreviewed","G1UI16_HUMAN","SCC-112 protein, isoform CRA_b (Sister chromatid cohesion protein PDS5 homolog A)","PDS5A SCC-112 hCG_38551","Homo sapiens (Human)",1337
"626","NP_003881","Q9Y6R7","reviewed","FCGBP_HUMAN","IgGFc-binding protein (Fcgamma-binding protein antigen) (FcgammaBP)","FCGBP","Homo sapiens (Human)",5405
"627","NP_001422","O43491","reviewed","E41L2_HUMAN","Band 4.1-like protein 2 (Erythrocyte membrane protein band 4.1-like 2) (Generally expressed protein 4.1) (4.1G)","EPB41L2","Homo sapiens (Human)",1005
"628","NP_001422","I6L9B1","unreviewed","I6L9B1_HUMAN","EPB41L2 protein","EPB41L2","Homo sapiens (Human)",633
"629","NP_036439","Q9Y2J2","reviewed","E41L3_HUMAN","Band 4.1-like protein 3 (4.1B) (Differentially expressed in adenocarcinoma of the lung protein 1) (DAL-1) (Erythrocyte membrane protein band 4.1-like 3) [Cleaved into: Band 4.1-like protein 3, N-terminally processed]","EPB41L3 DAL1 KIAA0987","Homo sapiens (Human)",1087
"630","NP_001245258","Q9H4G0","reviewed","E41L1_HUMAN","Band 4.1-like protein 1 (Erythrocyte membrane protein band 4.1-like 1) (Neuronal protein 4.1) (4.1N)","EPB41L1 KIAA0338","Homo sapiens (Human)",881
"631","NP_001245258","A0A0C4DH22","unreviewed","A0A0C4DH22_HUMAN","Erythrocyte membrane protein band 4.1 like 1","EPB41L1","Homo sapiens (Human)",880
"632","NP_001245258","B7Z653","unreviewed","B7Z653_HUMAN","cDNA FLJ61657, highly similar to Band 4.1-like protein 1","","Homo sapiens (Human)",794
"633","NP_001159477","P11171","reviewed","EPB41_HUMAN","Protein 4.1 (P4.1) (4.1R) (Band 4.1) (EPB4.1) (Erythrocyte membrane protein band 4.1)","EPB41 E41P","Homo sapiens (Human)",864
"634","NP_001159477","Q1WWM3","unreviewed","Q1WWM3_HUMAN","Protein 4.1 (Band 4.1) (Erythrocyte membrane protein band 4.1)","EPB41","Homo sapiens (Human)",742
"635","NP_001159477","Q59F12","unreviewed","Q59F12_HUMAN","Protein 4.1 (Band 4.1) (Erythrocyte membrane protein band 4.1)","","Homo sapiens (Human)",827
"636","NP_818932","Q9H4G0","reviewed","E41L1_HUMAN","Band 4.1-like protein 1 (Erythrocyte membrane protein band 4.1-like 1) (Neuronal protein 4.1) (4.1N)","EPB41L1 KIAA0338","Homo sapiens (Human)",881
"637","NP_818932","B7Z653","unreviewed","B7Z653_HUMAN","cDNA FLJ61657, highly similar to Band 4.1-like protein 1","","Homo sapiens (Human)",794
"638","NP_004428","P11171","reviewed","EPB41_HUMAN","Protein 4.1 (P4.1) (4.1R) (Band 4.1) (EPB4.1) (Erythrocyte membrane protein band 4.1)","EPB41 E41P","Homo sapiens (Human)",864
"639","NP_004428","Q59F12","unreviewed","Q59F12_HUMAN","Protein 4.1 (Band 4.1) (Erythrocyte membrane protein band 4.1)","","Homo sapiens (Human)",827
"640","NP_001245259","Q9H4G0","reviewed","E41L1_HUMAN","Band 4.1-like protein 1 (Erythrocyte membrane protein band 4.1-like 1) (Neuronal protein 4.1) (4.1N)","EPB41L1 KIAA0338","Homo sapiens (Human)",881
"641","NP_001245259","B7Z653","unreviewed","B7Z653_HUMAN","cDNA FLJ61657, highly similar to Band 4.1-like protein 1","","Homo sapiens (Human)",794
"642","NP_001258928","Q96N67","reviewed","DOCK7_HUMAN","Dedicator of cytokinesis protein 7","DOCK7 KIAA1771","Homo sapiens (Human)",2140
"643","NP_212132","Q96N67","reviewed","DOCK7_HUMAN","Dedicator of cytokinesis protein 7","DOCK7 KIAA1771","Homo sapiens (Human)",2140
"644","NP_982272","Q8NF50","reviewed","DOCK8_HUMAN","Dedicator of cytokinesis protein 8","DOCK8","Homo sapiens (Human)",2099
"645","NP_065863","Q96HP0","reviewed","DOCK6_HUMAN","Dedicator of cytokinesis protein 6","DOCK6 KIAA1395","Homo sapiens (Human)",2047
"646","NP_065863","B7Z9U8","unreviewed","B7Z9U8_HUMAN","cDNA, FLJ78962, highly similar to Dedicator of cytokinesis protein 6","","Homo sapiens (Human)",1386
"647","NP_005517","Q00613","reviewed","HSF1_HUMAN","Heat shock factor protein 1 (HSF 1) (Heat shock transcription factor 1) (HSTF 1)","HSF1 HSTF1","Homo sapiens (Human)",529
"648","NP_004497","Q03933","reviewed","HSF2_HUMAN","Heat shock factor protein 2 (HSF 2) (Heat shock transcription factor 2) (HSTF 2)","HSF2 HSTF2","Homo sapiens (Human)",536
"649","NP_001035757","Q9ULV5","reviewed","HSF4_HUMAN","Heat shock factor protein 4 (HSF 4) (hHSF4) (Heat shock transcription factor 4) (HSTF 4)","HSF4","Homo sapiens (Human)",492
"650","NP_004512","P33176","reviewed","KINH_HUMAN","Kinesin-1 heavy chain (Conventional kinesin heavy chain) (Ubiquitous kinesin heavy chain) (UKHC)","KIF5B KNS KNS1","Homo sapiens (Human)",963
"651","NP_004512","Q6P164","unreviewed","Q6P164_HUMAN","Kinesin-like protein","KIF5B","Homo sapiens (Human)",345
"652","NP_004512","V9HW29","unreviewed","V9HW29_HUMAN","Kinesin-like protein","HEL-S-61","Homo sapiens (Human)",963
"653","NP_004513","O60282","reviewed","KIF5C_HUMAN","Kinesin heavy chain isoform 5C (EC 3.6.4.-) (Kinesin heavy chain neuron-specific 2) (Kinesin-1)","KIF5C KIAA0531 NKHC2","Homo sapiens (Human)",957
"654","NP_004513","Q59GB8","unreviewed","Q59GB8_HUMAN","Kinesin heavy chain isoform 5C variant","","Homo sapiens (Human)",265
"655","NP_004975","Q12840","reviewed","KIF5A_HUMAN","Kinesin heavy chain isoform 5A (Kinesin heavy chain neuron-specific 1) (Neuronal kinesin heavy chain) (NKHC)","KIF5A NKHC1","Homo sapiens (Human)",1032
"656","NP_002145","P34932","reviewed","HSP74_HUMAN","Heat shock 70 kDa protein 4 (HSP70RY) (Heat shock 70-related protein APG-2)","HSPA4 APG2","Homo sapiens (Human)",840
"657","NP_006635","Q92598","reviewed","HS105_HUMAN","Heat shock protein 105 kDa (Antigen NY-CO-25) (Heat shock 110 kDa protein)","HSPH1 HSP105 HSP110 KIAA0201","Homo sapiens (Human)",858
"658","NP_055093","O95757","reviewed","HS74L_HUMAN","Heat shock 70 kDa protein 4L (Heat shock 70-related protein APG-1) (Heat-shock protein family A member 4-like protein) (HSPA4-like protein) (Osmotic stress protein 94)","HSPA4L APG1 OSP94","Homo sapiens (Human)",839
"659","NP_055093","A0A140VKE7","unreviewed","A0A140VKE7_HUMAN","Testis tissue sperm-binding protein Li 64n","","Homo sapiens (Human)",839
"660","NP_005349","Q8WWI1","reviewed","LMO7_HUMAN","LIM domain only protein 7 (LMO-7) (F-box only protein 20) (LOMP)","LMO7 FBX20 FBXO20 KIAA0858","Homo sapiens (Human)",1683
"661","NP_056667","Q8WWI1","reviewed","LMO7_HUMAN","LIM domain only protein 7 (LMO-7) (F-box only protein 20) (LOMP)","LMO7 FBX20 FBXO20 KIAA0858","Homo sapiens (Human)",1683
"662","NP_056667","A0A0A0MTE2","unreviewed","A0A0A0MTE2_HUMAN","LIM domain 7","LMO7","Homo sapiens (Human)",1385
"663","NP_065741","Q8IWZ3","reviewed","ANKH1_HUMAN","Ankyrin repeat and KH domain-containing protein 1 (HIV-1 Vpr-binding ankyrin repeat protein) (Multiple ankyrin repeats single KH domain) (hMASK)","ANKHD1 KIAA1085 MASK VBARP PP2500","Homo sapiens (Human)",2542
"664","NP_115593","O75179","reviewed","ANR17_HUMAN","Ankyrin repeat domain-containing protein 17 (Gene trap ankyrin repeat protein) (Serologically defined breast cancer antigen NY-BR-16)","ANKRD17 GTAR KIAA0697","Homo sapiens (Human)",2603
"665","NP_060217","Q8IWZ3","reviewed","ANKH1_HUMAN","Ankyrin repeat and KH domain-containing protein 1 (HIV-1 Vpr-binding ankyrin repeat protein) (Multiple ankyrin repeats single KH domain) (hMASK)","ANKHD1 KIAA1085 MASK VBARP PP2500","Homo sapiens (Human)",2542
"666","NP_078944","Q8IWZ3","reviewed","ANKH1_HUMAN","Ankyrin repeat and KH domain-containing protein 1 (HIV-1 Vpr-binding ankyrin repeat protein) (Multiple ankyrin repeats single KH domain) (hMASK)","ANKHD1 KIAA1085 MASK VBARP PP2500","Homo sapiens (Human)",2542
"667","NP_005119","Q9Y3R5","reviewed","DOP2_HUMAN","Protein dopey-2","DOP1B C21orf5 DOPEY2 KIAA0933","Homo sapiens (Human)",2298
"668","NP_001186871","Q5TA12","unreviewed","Q5TA12_HUMAN","DOP1 leucine zipper like protein A","DOP1A","Homo sapiens (Human)",2476
"669","NP_001073883","Q9P219","reviewed","DAPLE_HUMAN","Protein Daple (Coiled-coil domain-containing protein 88C) (Dvl-associating protein with a high frequency of leucine residues) (hDaple) (Hook-related protein 2) (HkRP2)","CCDC88C DAPLE KIAA1509","Homo sapiens (Human)",2028
"670","NP_001073883","B4DZB8","unreviewed","B4DZB8_HUMAN","cDNA FLJ59076, highly similar to Mus musculus coiled-coil domain containing 88C (Ccdc88c), mRNA","","Homo sapiens (Human)",234
"671","NP_057688","Q7LBC6","reviewed","KDM3B_HUMAN","Lysine-specific demethylase 3B (EC 1.14.11.65) (JmjC domain-containing histone demethylation protein 2B) (Jumonji domain-containing protein 1B) (Nuclear protein 5qNCA) ([histone H3]-dimethyl-L-lysine(9) demethylase 3B)","KDM3B C5orf7 JHDM2B JMJD1B KIAA1082","Homo sapiens (Human)",1761
"672","NP_060903","Q9Y4C1","reviewed","KDM3A_HUMAN","Lysine-specific demethylase 3A (EC 1.14.11.65) (JmjC domain-containing histone demethylation protein 2A) (Jumonji domain-containing protein 1A) ([histone H3]-dimethyl-L-lysine(9) demethylase 3A)","KDM3A JHDM2A JMJD1 JMJD1A KIAA0742 TSGA","Homo sapiens (Human)",1321
"673","NP_940953","Q5JRA6","reviewed","TGO1_HUMAN","Transport and Golgi organization protein 1 homolog (TANGO1) (C219-reactive peptide) (D320) (Melanoma inhibitory activity protein 3)","MIA3 KIAA0268 TANGO UNQ6077/PRO20088","Homo sapiens (Human)",1907
"674","NP_001509","P78347","reviewed","GTF2I_HUMAN","General transcription factor II-I (GTFII-I) (TFII-I) (Bruton tyrosine kinase-associated protein 135) (BAP-135) (BTK-associated protein 135) (SRF-Phox1-interacting protein) (SPIN) (Williams-Beuren syndrome chromosomal region 6 protein)","GTF2I BAP135 WBSCR6","Homo sapiens (Human)",998
